JTB739	⿰禾叐
JTB73CS	⿰秀丸
JTB741	⿰禾我
JTB74B	⿰禾㚛
JTB74C	⿰禾⿱臼彡
JTB751	⿰禾晃
JTB753	⿰禾⿺恵丶
JTB756	⿰禾⿳𠂊日电
JTB75A	⿰禾⿳𦍌䒑口
JTB75B	⿰禾善
JTB75C	⿰？禾
JTB766	⿰禾興
JTB767	⿰禾⿳亠⿱？𠀎𧘇
JTB768	⿰禾？
JTB778S	⿱穴佳
JTB77AS	⿱穴⿱土
JTB78D	⿰立旬
JTB78E	⿰立圭
JTB790	⿰立甬
JTB791	⿰立明
JTB794	⿰章久
JTB796	⿰立春
JTB79B	⿱竜⿰竜竜
JTB79C	⿱竹乃
JTB7A4	⿱竹⿱夫㔾
JTB7A6	⿱竹卋
JTB7A9S	⿱竹⿱𡗗㔾
JTB7ABS	⿱竹沄
JTB7B1	⿱竹宜
JTB7C0	⿳竹𣱼木
JTB7CA	⿱竹𨊰
JTB7CC	⿱竹耕
JTB7CE	⿱竹⿱𠀎𧘇
JTB7CF	⿳竹龱比
JTB7D5	⿱竹淸
JTB7D9	⿱竹⿻表口
JTB7DF	⿱竹⿰方？
JTB7E4	⿱竹慶
JTB7EC	⿳竹正鳥
JTB7EF	⿳竹兓貝
JTB7F6	⿰米広
JTB7F7	⿰米艮
JTB7FC	⿰米⿱凶殳
JTB800	⿰米高
JTB801	⿱𥝢⿱𠆢米
JTB802	⿳物人米
JTB810	⿰糸井
JTB819	⿰糸⿴互丶
JTB81E	⿲糸丈丈
JTB81F	⿱糸
JTB828	⿰糸甸
JTB82C	⿰糸吳
JTB82D	⿰糸⿱䒑龰
JTB833	⿰糸⿵冂⿱䒑⿺𠃊㐅
JTB836	⿰糸匊
JTB843	⿰糸⿳十卄⿱一夂
JTB846	⿰糸⿻垂一
JTB847	⿰糸栄
JTB862	⿰糸𠔥
JTB86C	⿰糸⿷監一
JTB86F	⿰缶夫
JTB870	⿰缶⿱𠂉⿻一隹
JTB874	⿱罒成
JTB878	⿱𦍌夂
JTB87D	⿰羊戊
JTB880	⿱𦍌⿰禾戈
JTB882	⿰𠦝羊
JTB890	⿱羽共
JTB891	⿱羽合
JTB8A5	⿰⿱出光翟
JTB8A7S	⿰男老
JTB8AF	⿰耒目
JTB8B3	⿰耳厶
JTB8B4	⿰耳太
JTB8B8	⿰耳夋
JTB8BA	⿲耳玄斗
JTB8C7	⿻聿儿
JTB8CF	⿰月⿱丷弓
JTB8D0	⿱𠔉月
JTB8D6	⿸⿱⺊䏌
JTB8D9	⿰冏月
JTB8DE	⿰䏍⿱土山
JTB8E8	⿰月⿱巠巾
JTB8E8S	⿰月⿱巠巾
JTB8EB	⿰月⿱𠂉⿱目勿
JTB8F6	⿱鋠月
JTB8F8	⿳十冖至
JTB8FB	⿰至奉
JTB8FD	⿱𦥑文
JTB900	⿳⿴𦥑与一八
JTB901	⿳⿴𦥑夕一八
JTB902	⿳⿴𦥑歹一八
JTB903	⿳⿴⺽歹一八
JTB904	⿳⿴𦥑臼一八
JTB905	⿱仝口
JTB915	⿰舟寿
JTB930	⿱艹収
JTB932	⿱艹⿱日乚
JTB947	⿱艹𡖅
JTB95F	⿱艹㐬
JTB960	⿱艹㠩
JTB962S	⿳艹⿺𠃊㐅
JTB974	⿻芙丷
JTB97A	⿳艹宀千
JTB985S	⿱艹㐬
JTB986	⿳艹区
JTB987S	⿱艹㐬
JTB988	⿳艹凶
JTB990	⿱艹麦
JTB991	⿳艹⿺𠃊㐅心
JTB997	⿱艹𠫓大
JTB998	⿱艹𣲩
JTB99A	⿱艹冶
JTB9AC	⿱艹⿻丰从
JTB9AD	⿱艹⿱巫十
JTB9AE	⿱艹⿳一从
JTB9B7	⿱艹⿹勹共
JTB9B8	⿱艹⿰阝
JTB9B9	⿱⿷芒㐅
JTB9C1	⿳艹厂民
JTB9CB	⿱艹
JTB9DC	⿱艹室
JTB9DE	⿳艹𣱼木
JTB9DF	⿳艹白木
JTB9E7	⿱艹⿱𠀎𧘇
JTB9E9	⿱艹兹
JTB9EA	⿱苗日
JTB9FA	⿱艹発
JTB9FB	⿳艹？从
JTBA02	⿱艹冦
JTBA03	⿳艹冖⿺元攵
JTBA0E	⿳艹汍木
JTBA0F	⿱艹𥙊
JTBA10	⿱艹⿳一田𠮛
JTBA2C	⿱艹⿴囗隹
JTBA42	⿱艹⿰冫⿵戊㠯
JTBA5E	⿱艹⿰糸辛
JTBA5F	⿱𦶚廾
JTBA60	⿱艹⿰皀邑
JTBA62	⿳艹亠黒
JTBA77	⿱艹維
JTBA78	⿱艹⿰臣辛
JTBA79	⿱艹綱
JTBA7A	⿱艹⿰禾専
JTBA7C	⿱艹⿰禾⿱自寸
JTBA80	⿱卝⿰月泰
JTBA86	⿳艹執云
JTBA88	⿳艹⿰戸攵言
JTBA8A	⿱艹勲
JTBA8B	⿱艹穂
JTBA8E	⿱艹輪
JTBA9A	⿳艹⿰㠯辛木
JTBA9B	⿱艹⿰禾？
JTBAA2	⿱艹勲
JTBAA6	⿱艹⿰禿鬼
JTBAB1	⿸虍土
JTBAB7	⿰乎虎
JTBAB8S	⿰虎粦
JTBABB	⿱虫
JTBABE	⿰虫⿸厂丂
JTBAC2	⿰虫世
JTBAC7	⿰虫⿱𠆢屯
JTBAE4	⿱虫
JTBAF1	⿰虫⿱罒？
JTBAFE	⿲彳⿱五吊亍
JTBAFF	⿲彳𫖌亍
JTBB00	⿱亠𧘇
JTBB01	⿰衤乚
JTBB02	⿰衤刂
JTBB0F	⿱利衣
